order_id,customer_id,order_date,quantity,unit_price
ORD000001,CUST00263,2024-09-29,10,360.59
ORD000002,CUST00319,2024-12-18,1,290.02
ORD000003,CUST00204,2024-11-07,4,387.38
ORD000004,CUST00124,2026-01-26,1,217.05
ORD000005,CUST00350,2024-12-09,7,57.24
ORD000006,CUST00471,2025-03-27,9,138.69
ORD000007,CUST00496,2025-01-31,10,426.6
ORD000008,CUST00462,2024-11-14,8,335.75
ORD000009,CUST00333,2026-02-07,4,132.88
ORD000010,CUST00283,2025-12-28,4,361.44
ORD000011,CUST00488,2025-08-15,1,114.69
ORD000012,CUST00378,2026-04-22,7,277.44
ORD000013,CUST00314,2025-07-23,2,161.2
ORD000014,CUST00190,2026-07-31,8,296.85
ORD000015,CUST00103,2026-07-14,6,12.0
ORD000016,CUST00056,2025-03-09,3,377.63
ORD000017,CUST94658,2025-01-30,3,129.98
ORD000018,CUST00067,2026-05-19,1,406.52
ORD000019,CUST00255,2026-02-14,7,396.42
ORD000020,CUST00462,2026-08-12,10,156.16
ORD000021,CUST00102,2024-11-22,4,45.19
ORD000022,CUST00161,2026-04-10,8,237.61
ORD000023,CUST00290,2025-11-11,4,394.97
ORD000024,CUST00203,2025-01-07,3,414.18
ORD000025,CUST00315,2025-02-05,5,237.01
ORD000026,CUST00279,2026-02-17,2,445.26
ORD000027,CUST00027,2025-07-21,10,15.27
ORD000028,CUST00042,2025-07-31,9,458.46
ORD000029,CUST90003,2025-11-17,7,336.72
ORD000030,CUST90007,2025-03-25,7,277.3
ORD000031,CUST00332,2025-04-29,7,413340.0
ORD000032,CUST00474,2024-11-25,6,251.75
ORD000033,CUST00274,2025-06-15,8,244.93
ORD000034,CUST00246,2025-01-31,1,51.14
ORD000035,CUST00473,2025-05-23,3,359.72
ORD000036,CUST00495,2026-06-26,9,99.35
ORD000037,CUST00140,2026-04-29,7,394.92
ORD000038,CUST94891,2025-08-02,8,226.04
ORD000039,CUST00387,2026-06-20,4,123.21
ORD000040,CUST00421,2026-08-09,8,406.65
ORD000041,CUST00156,2025-03-11,9,169.34
ORD000042,CUST00103,2025-07-04,3,329.12
ORD000043,CUST00272,2025-11-23,2,426.91
ORD000044,CUST00325,2026-06-11,8,22.77
ORD000045,CUST00295,2026-08-03,7,381.38
ORD000046,CUST00171,2025-09-30,1,32.78
ORD000047,CUST00251,2025-06-26,3,44.09
ORD000048,CUST00247,2024-11-30,4,130.72
ORD000049,CUST97622,2026-04-22,3,472.89
ORD000050,CUST00435,2025-07-18,5,195.42
ORD000051,CUST00368,2025-01-21,5,415.87
ORD000052,CUST90803,2025-03-06,5,118.91
ORD000053,CUST00195,2025-02-12,3,452.18
ORD000054,CUST00452,2025-06-06,6,49.62
ORD000055,CUST00180,2024-12-23,9,186.1
ORD000056,CUST00169,2025-04-25,8,151.1
ORD000057,CUST00480,2024-09-15,4,363.49
ORD000059,CUST00269,2026-02-13,6,120.74
ORD000060,CUST00336,2025-02-11,2,234.81
ORD000061,CUST00120,2025-10-27,1,248.85
