order_id,customer_id,order_date,quantity,unit_price
ORD000001,CUST00263,09-29-2024,10,360.59
ORD000002,CUST00319,18/12/2024,1,290.02
ORD000003,CUST00204,07/11/2024,4,387.38
ORD000004,CUST00124,2026-01-26,1,217.05
ORD000005,CUST00350,09/12/2024,7,57.24
ORD000006,CUST00471,03-27-2025,9,138.69
ORD000007,CUST00496,2025-01-31,10,426.6
ORD000008,CUST00462,14/11/2024,8,335.75
ORD000009,CUST00333,07/02/2026,4,132.88
ORD000010,CUST00283,2025-12-28,4,361.44
ORD000011,CUST00488,08-15-2025,1,114.69
ORD000012,CUST00378,2026-04-22,7,277.44
ORD000013,CUST00314,23/07/2025,2,161.2
ORD000014,CUST00190,31/07/2026,8,296.85
ORD000015,CUST00103,07-14-2026,6,12.0
ORD000016,CUST00056,2025-03-09,3,377.63
ORD000017,CUST94658,01-30-2025,3,129.98
ORD000018,CUST00067,05-19-2026,1,406.52
ORD000019,CUST00255,14/02/2026,7,396.42
ORD000020,CUST00462,08-12-2026,10,156.16
ORD000021,CUST00102,11-22-2024,4,45.19
ORD000022,CUST00161,10/04/2026,8,237.61
ORD000023,CUST00290,11-11-2025,4,394.97
ORD000024,CUST00203,2025-01-07,3,414.18
ORD000025,CUST00315,2025-02-05,5,237.01
ORD000026,CUST00279,02-17-2026,2,445.26
ORD000027,CUST00027,21/07/2025,10,15.27
ORD000028,CUST00042,07-31-2025,9,458.46
ORD000029,CUST90003,11-17-2025,7,336.72
ORD000030,CUST90007,25/03/2025,7,277.3
ORD000031,CUST00332,29/04/2025,7,413340.0
ORD000032,CUST00474,11-25-2024,6,251.75
ORD000033,CUST00274,2025-06-15,8,244.93
ORD000034,CUST00246,01-31-2025,1,51.14
ORD000035,CUST00473,2025-05-23,3,359.72
ORD000036,CUST00495,06-26-2026,9,99.35
ORD000037,CUST00140,04-29-2026,7,394.92
ORD000038,CUST94891,2025-08-02,8,226.04
ORD000039,CUST00387,06-20-2026,4,123.21
ORD000040,CUST00421,09/08/2026,8,406.65
ORD000041,CUST00156,03-11-2025,9,169.34
ORD000042,CUST00103,07-04-2025,3,329.12
